anr;datum;titel_kurz;ja_proz;li_re;kons_prog
237;02.12.1973;Massnahmen zur Preisüberwachung;#ZAHL!;#ZAHL!;Nan
238;02.12.1973;Massnahmen auf dem Gebiet des Kreditwesens;#ZAHL!;#ZAHL!;Nan
239;02.12.1973;Massnahmen zur Stabilisierung des Baumarktes;#ZAHL!;#ZAHL!;Nan
240;02.12.1973;Einschränkung der steuerwirksamen Abschreibungen;#ZAHL!;#ZAHL!;Nan
241;02.12.1973;Tierschutzartikel ;#ZAHL!;#ZAHL!;Nan
242;20.10.1974;Initiative «Gegen die Überfremdung»;#ZAHL!;#ZAHL!;Nan
243;08.12.1974;Verbesserung des Bundeshaushalts;#ZAHL!;#ZAHL!;Nan
244;08.12.1974;Erschwerung von Ausgabenbeschlüssen;#ZAHL!;#ZAHL!;Nan
245.1;08.12.1974;Initiative «für eine soziale Krankenversicherung»;#ZAHL!;#ZAHL!;Nan
245.2;08.12.1974;Bundesbeschluss über die soziale Krankenversicherung (Gegenentwurf);#ZAHL!;#ZAHL!;Nan
246;02.03.1975;Konjunkturartikel;#ZAHL!;#ZAHL!;Nan
247;08.06.1975;Bundesbeschluss über den Schutz der Währung;#ZAHL!;#ZAHL!;Nan
248;08.06.1975;Bundesbeschluss über die Finanzierung der Nationalstrassen;#ZAHL!;#ZAHL!;Nan
249;08.06.1975;Änderung des Generalzolltarifs;#ZAHL!;#ZAHL!;Nan
250;08.06.1975;Bundesbeschluss zur Erhöhung der Steuereinnahmen;#ZAHL!;#ZAHL!;Nan
251;08.06.1975;Erschwerung von Ausgabenbeschlüssen;#ZAHL!;#ZAHL!;Nan
252;07.12.1975;Reform der Niederlassungsfreiheit und Unterstützungsregelung;#ZAHL!;#ZAHL!;Nan
253;07.12.1975;Verfassungsbestimmungen zur Wasserwirtschaft;#ZAHL!;#ZAHL!;Nan
254;07.12.1975;Gesetz über die Ein- und Ausfuhr von Landwirtschaftserzeugnissen;#ZAHL!;#ZAHL!;Nan
255.1;21.03.1976;Initiative «für die Mitbestimmung der Arbeitnehmer»;#ZAHL!;#ZAHL!;Nan
255.2;21.03.1976;Gegenentwurf zur Mitbestimmungsinitiative;#ZAHL!;#ZAHL!;Nan
256;21.03.1976;Initiative «für eine Reform des Steuerwesens»;#ZAHL!;#ZAHL!;Nan
257;13.06.1976;Raumplanungsgesetz;#ZAHL!;#ZAHL!;Nan
258;13.06.1976;Darlehen an die Internationale Entwicklungsorganisation;#ZAHL!;#ZAHL!;Nan
259;13.06.1976;Neukonzeption der Arbeitslosenversicherung;#ZAHL!;#ZAHL!;Nan
260;26.09.1976;Radio- und Fernsehartikel;#ZAHL!;#ZAHL!;Nan
261;26.09.1976;Initiative für eine Haftpflichtversicherung für Motorfahrzeuge und Fahrräder;#ZAHL!;#ZAHL!;Nan
262;05.12.1976;Bundesbeschluss über die Geld- und Kreditpolitik;#ZAHL!;#ZAHL!;Nan
263;05.12.1976;Bundesbeschluss über die Preisüberwachung;#ZAHL!;#ZAHL!;Nan
264;05.12.1976;Initiative «für die Einführung der 40-Stunden-Woche»;#ZAHL!;#ZAHL!;Nan
265;13.03.1977;Vierte «Überfremdungsinitiative»;#ZAHL!;#ZAHL!;Nan
266;13.03.1977;Initiative «für eine Beschränkung der Einbürgerungen»;#ZAHL!;#ZAHL!;Nan
267.1;13.03.1977;Initiative zur Neuordnung des Staatsvertragsreferendums;#ZAHL!;#ZAHL!;Nan
267.2;13.03.1977;Neuordnung des Staatsvertragsreferendums (Gegenentwurf);#ZAHL!;#ZAHL!;Nan
268;12.06.1977;Neuordnung der Umsatzsteuer und der direkten Bundessteuer;#ZAHL!;#ZAHL!;Nan
269;12.06.1977;Bundesbeschluss über die Steuerharmonisierung;#ZAHL!;#ZAHL!;Nan
270.1;25.09.1977;Mieterschutzinitiative;#ZAHL!;#ZAHL!;Nan
270.2;25.09.1977;Gegenentwurf zur Mieterschutzinitiative;#ZAHL!;#ZAHL!;Nan
271;25.09.1977;Initiative «gegen die Luftverschmutzung durch Motorfahrzeuge»;#ZAHL!;#ZAHL!;Nan
272;25.09.1977;Erhöhung der Unterschriftenzahl für das Referendum;#ZAHL!;#ZAHL!;Nan
273;25.09.1977;Erhöhung der Unterschriftenzahl für die Verfassungsinitiative;#ZAHL!;#ZAHL!;Nan
274;25.09.1977;Initiative «für die Fristenlösung»;#ZAHL!;#ZAHL!;Nan
275;04.12.1977;«Reichtumssteuer-Initiative»;#ZAHL!;#ZAHL!;Nan
276;04.12.1977;Bundesgesetz über die politischen Rechte;#ZAHL!;#ZAHL!;Nan
277;04.12.1977;Einführung eines zivilen Ersatzdienstes;#ZAHL!;#ZAHL!;Nan
278;04.12.1977;Massnahmen zum Ausgleich des Bundeshaushaltes;#ZAHL!;#ZAHL!;Nan
279;26.02.1978;Initiative für mehr Mitbestimmung im Nationalstrassenbau;#ZAHL!;#ZAHL!;Nan
280;26.02.1978;9. AHV-Revision;#ZAHL!;#ZAHL!;Nan
281;26.02.1978;Initiative zur Herabsetzung des AHV-Alters;#ZAHL!;#ZAHL!;Nan
282;26.02.1978;Konjunkturartikel;#ZAHL!;#ZAHL!;Nan
283;28.05.1978;Zeitgesetz (Sommerzeit);#ZAHL!;#ZAHL!;Nan
284;28.05.1978;Zolltarifgesetz (Brotpreis);#ZAHL!;#ZAHL!;Nan
285;28.05.1978;Gesetz über den Schwangerschaftsabbruch;#ZAHL!;#ZAHL!;Nan
286;28.05.1978;Gesetz über die Hochschulförderung;#ZAHL!;#ZAHL!;Nan
287;28.05.1978;Initiative für 12 autofreie Sonntage pro Jahr;#ZAHL!;#ZAHL!;Nan
288;24.09.1978;Bundesbeschluss über die Gründung des Kantons Jura;#ZAHL!;#ZAHL!;Nan
289;03.12.1978;Milchwirtschaftsbeschluss;#ZAHL!;#ZAHL!;Nan
290;03.12.1978;Tierschutzgesetz ;#ZAHL!;#ZAHL!;Nan
291;03.12.1978;Sicherheitspolizeigesetz;#ZAHL!;#ZAHL!;Nan
292;03.12.1978;Berufsbildungsgesetz;#ZAHL!;#ZAHL!;Nan
293;18.02.1979;Stimm- und Wahlrecht für 18-Jährige;#ZAHL!;#ZAHL!;Nan
294;18.02.1979;Bundesbeschluss über die Fuss- und Wanderwege;#ZAHL!;#ZAHL!;Nan
295;18.02.1979;Initiative «gegen Suchtmittelreklame»;#ZAHL!;#ZAHL!;Nan
296;18.02.1979;Atominitiative;#ZAHL!;#ZAHL!;Nan
297;20.05.1979;Neuordnung der Umsatzsteuer und der direkten Bundessteuer;#ZAHL!;#ZAHL!;Nan
298;20.05.1979;Atomgesetz;#ZAHL!;#ZAHL!;Nan
299;02.03.1980;Initiative zur «vollständigen Trennung von Kirche und Staat»;#ZAHL!;#ZAHL!;Nan
300;02.03.1980;Neuordnung der Landesversorgung;#ZAHL!;#ZAHL!;Nan
301;30.11.1980;Gurten- und Schutzhelmobligatorium;#ZAHL!;#ZAHL!;Nan
302;30.11.1980;Aufhebung des Kantonsanteils an den Stempelabgaben;#ZAHL!;#ZAHL!;Nan
303;30.11.1980;Abbau des Kantonsanteils an den Alkoholeinnahmen ;#ZAHL!;#ZAHL!;Nan
304;30.11.1980;Revision der Brotgetreideordnung;#ZAHL!;#ZAHL!;Nan
305;05.04.1981;Initiative «für eine neue Ausländerpolitik»;#ZAHL!;#ZAHL!;Nan
306;14.06.1981;Artikel zur Gleichstellung von Mann und Frau;#ZAHL!;#ZAHL!;Nan
307;14.06.1981;zur Absicherung der Rechte der Konsumenten;65.5;-1;3
308;29.11.1981;Weiterführung der Finanzordnung;#ZAHL!;#ZAHL!;Nan
309;06.06.1982;Strafgesetz (Gewaltverbrechen);63.7;1;1
310;06.06.1982;Ausländergesetz;#ZAHL!;#ZAHL!;Nan
311.1;28.11.1982;Verhinderung missbräuchlicher Preise;57.9;-1;1
311.2;28.11.1982;Verhinderung missbräuchlicher Preise (Gegenentwurf);24.8;1;2
312;27.02.1983;Neuregelung der Treibstoffzölle;#ZAHL!;#ZAHL!;Nan
313;27.02.1983;Energieartikel;#ZAHL!;#ZAHL!;Nan
314;04.12.1983;Reform der Bürgerrechtsregelung in der Bundesverfassung;#ZAHL!;#ZAHL!;Nan
315;04.12.1983;Bundesbeschluss über die Erleichterung gewisser Einbürgerungen;#ZAHL!;#ZAHL!;Nan
316;26.02.1984;Schwerverkehrsabgabe;58.7;-1;3
317;26.02.1984;Einführung der Autobahnvignette;#ZAHL!;#ZAHL!;Nan
318;26.02.1984;Zivildienst auf der Grundlage des Tatbeweises;36.2;-1;-1
319;20.05.1984;Banken-Initiative;27;-1;1
320;20.05.1984;Initiative «Gegen den Ausverkauf der Heimat»;#ZAHL!;#ZAHL!;Nan
321;23.09.1984;Zukunft ohne weitere Atomkraftwerke;45;-1;1
322;23.09.1984;sichere, sparsame und umweltgerechte Energieversorgung;45.8;-1;1
323;02.12.1984;Mutterschaftsversicherung;15.8;-1;1
324;02.12.1984;Radio- und Fernsehartikel;#ZAHL!;#ZAHL!;Nan
325;02.12.1984;Bundesbeschluss über die Entschädigung der Opfer von Gewaltverbrechen;#ZAHL!;#ZAHL!;Nan
326;10.03.1985;Aufhebung der Bundesbeiträge für den Primarschulunterricht;#ZAHL!;#ZAHL!;Nan
327;10.03.1985;Aufhebung der Beitragspflicht des Bundes im Gesundheitswesen;#ZAHL!;#ZAHL!;Nan
328;10.03.1985;Neuregelung der Ausbildungsbeiträge;47.6;1;-3
329;10.03.1985;Verlängerung der bezahlten Ferien;34.8;-2;1
330;09.06.1985;Initiative «Recht auf Leben»;#ZAHL!;#ZAHL!;Nan
331;09.06.1985;Aufhebung des Kantonsanteils an den Stempelabgaben;#ZAHL!;#ZAHL!;Nan
332;09.06.1985;Neuverteilung der Erträge aus der Alkoholabgabe;#ZAHL!;#ZAHL!;Nan
333;09.06.1985;Aufhebung der Unterstützung für die Selbstversorgung mit Brotgetreide;#ZAHL!;#ZAHL!;Nan
334;22.09.1985;Bundesbeschluss zur Koordination des Schuljahresbeginns;#ZAHL!;#ZAHL!;Nan
335;22.09.1985;Innovationsrisikogarantie;43.1;-1;1
336;22.09.1985;Neues Ehe- und Erbrecht;#ZAHL!;#ZAHL!;Nan
337;01.12.1985;Initiative «für die Abschaffung der Vivisektion»;#ZAHL!;#ZAHL!;Nan
338;16.03.1986;UNO-Beitritt;#ZAHL!;#ZAHL!;Nan
339.1;28.09.1986;Eidgenössische 'Kulturinitiative';18.1;-1;1
339.2;28.09.1986;Gegenentwurf zur Kulturinitiative;#ZAHL!;#ZAHL!;Nan
340;28.09.1986;Lehrwerkstätten-Initiative;18.4;-1;2
341;28.09.1986;Bundesbeschluss über die Zuckerwirtschaft;#ZAHL!;#ZAHL!;Nan
342;07.12.1986;Mieterschutz (Gegenvorschlag);64.4;-1;3
343;07.12.1986;Schwerverkehrsabgabe (Initiative);33.9;-1;2
344;05.04.1987;Asylgesetz (Verfahrensstraffung);67.3;1;-3
345;05.04.1987;Ausländergesetz;#ZAHL!;#ZAHL!;Nan
346;05.04.1987;Rüstungsreferendum;40.6;-1;1
347;05.04.1987;Abstimmungsverfahren bei Volksinitiativen mit Gegenentwurf;#ZAHL!;#ZAHL!;Nan
348;06.12.1987;BAHN 2000;57;-1;1
349;06.12.1987;Kranken- und Mutterschaftsversicherung;28.7;-1;1
350;06.12.1987;Rothenthurm-Initiative;57.8;-1;1
351;12.06.1988;Verfassungsgrundlagen für eine koordinierte Verkehrspolitik;#ZAHL!;#ZAHL!;Nan
352;12.06.1988;Herabsetzung des AHV-Rentenalters;35.1;-2;1
353;04.12.1988;Stadt-Land-Initiative gegen die Bodenspekulation;30.8;-1;2
354;04.12.1988;40-Stunden-Woche;34.3;-2;1
355;04.12.1988;Initiative «für die Begrenzung der Einwanderung»;#ZAHL!;#ZAHL!;Nan
356;04.06.1989;Kleinbauern-Initiative;#ZAHL!;#ZAHL!;Nan
357;26.11.1989;Schweiz ohne Armee und umfassende Friedenspolitik;35.6;-2;1
358;26.11.1989;Initiative «pro Tempo 130/100»;#ZAHL!;#ZAHL!;Nan
359;01.04.1990;Initiative «für eine Begrenzung des Strassenbaus»;#ZAHL!;#ZAHL!;Nan
360;01.04.1990;Initiative «für eine autobahnfreie Landschaft zwischen Murten und Yverdon»;#ZAHL!;#ZAHL!;Nan
361;01.04.1990;Initiative «für ein autobahnfreies Knonauer Amt»;#ZAHL!;#ZAHL!;Nan
362;01.04.1990;Initiative für eine freie Aarelandschaft zwischen Biel und Solothurn;#ZAHL!;#ZAHL!;Nan
363;01.04.1990;Rebbaubeschluss;#ZAHL!;#ZAHL!;Nan
364;01.04.1990;Gesetz über die Organisation der Bundesrechtspflege;#ZAHL!;#ZAHL!;Nan
365;23.09.1990;für den Ausstieg aus der Atomenergie;47.1;-1;1
366;23.09.1990;Stopp dem Atomkraftwerkbau (Moratorium);54.5;-1;1
367;23.09.1990;Energieartikel in der Bundesverfassung;71.1;-1;1
368;23.09.1990;Strassenverkehrsgesetz;#ZAHL!;#ZAHL!;Nan
369;03.03.1991;Herabsetzung des Stimmrechtsalters auf 18 Jahre;#ZAHL!;#ZAHL!;Nan
370;03.03.1991;Förderung des öffentlichen Verkehrs;37.1;-1;-1
371;02.06.1991;Neuordnung der Bundesfinanzen (Einführung Mehrwertsteuer);#ZAHL!;#ZAHL!;Nan
372;02.06.1991;Militärstrafgesetz;#ZAHL!;#ZAHL!;Nan
373;16.02.1992;«Krankenkassen-Initiative»;#ZAHL!;#ZAHL!;Nan
374;16.02.1992;Initiative «Weg vom Tierversuch!»;#ZAHL!;#ZAHL!;Nan
375;17.05.1992;Beitritt zu den Institutionen von Bretton Woods;#ZAHL!;#ZAHL!;Nan
376;17.05.1992;Gesetz über die Mitwirkung an den Institutionen von Bretton Woods;#ZAHL!;#ZAHL!;Nan
377;17.05.1992;Gewässerschutzgesetz;#ZAHL!;#ZAHL!;Nan
378;17.05.1992;Gewässerschutz-Initiative;#ZAHL!;#ZAHL!;Nan
379;17.05.1992;Regelung der Fortpflanzungs- und Gentechnologie;#ZAHL!;#ZAHL!;Nan
380;17.05.1992;Zivildienst für Dienstverweigerer;82.5;-1;3
381;17.05.1992;Reform des Sexualstrafrechts;#ZAHL!;#ZAHL!;Nan
382;27.09.1992;Alpentransit-Beschluss (NEAT);#ZAHL!;#ZAHL!;Nan
383;27.09.1992;Geschäftsverkehrsgesetz;#ZAHL!;#ZAHL!;Nan
384;27.09.1992;Entschädigungsgesetz;#ZAHL!;#ZAHL!;Nan
385;27.09.1992;Infrastrukturgesetz;#ZAHL!;#ZAHL!;Nan
386;27.09.1992;Gesetz über die Stempelabgaben;#ZAHL!;#ZAHL!;Nan
387;27.09.1992;Gesetz über das bäuerliche Bodenrecht;#ZAHL!;#ZAHL!;Nan
388;06.12.1992;EWR-Beitritt;#ZAHL!;#ZAHL!;Nan
389;07.03.1993;Erhöhung des Treibstoffzolls;#ZAHL!;#ZAHL!;Nan
390;07.03.1993;Aufhebung des Spielbankenverbots;#ZAHL!;#ZAHL!;Nan
391;07.03.1993;Initiative «zur Abschaffung der Tierversuche»;#ZAHL!;#ZAHL!;Nan
392;06.06.1993;Waffenplatz-Initiative;44.7;-2;1
393;06.06.1993;Schweiz ohne neue Kampfflugzeuge;42.8;-2;1
394;26.09.1993;Bundesbeschluss gegen den Waffenmissbrauch;#ZAHL!;#ZAHL!;Nan
395;26.09.1993;Kantonswechsel des Laufentals zu Basel-Landschaft;#ZAHL!;#ZAHL!;Nan
396;26.09.1993;1.-August-Initiative;#ZAHL!;#ZAHL!;Nan
397;26.09.1993;Massnahmen geg. d. Kostensteig. in d. Krankenversicherung;80.5;1;-1
398;26.09.1993;Massnahmen in der Arbeitslosenversicherung;70.4;1;1
399;28.11.1993;Einführung der Mehrwertsteuer;#ZAHL!;#ZAHL!;Nan
400;28.11.1993;"Mehrwertsteuer-Satz 6;5%";#ZAHL!;#ZAHL!;Nan
401;28.11.1993;Mehrwertsteuerprozent für die AHV;#ZAHL!;#ZAHL!;Nan
402;28.11.1993;Bundesbeschluss über besondere Verbrauchssteuern;#ZAHL!;#ZAHL!;Nan
403;28.11.1993;Initiative «zur Verminderung der Alkoholprobleme»;#ZAHL!;#ZAHL!;Nan
404;28.11.1993;Initiative «zur Verminderung der Tabakprobleme»;#ZAHL!;#ZAHL!;Nan
405;20.02.1994;Weiterführung Autobahnvignette;#ZAHL!;#ZAHL!;Nan
406;20.02.1994;Weiterführung der Schwerverkehrsabgabe;72.2;-1;1
407;20.02.1994;Leistungsabhängige Schwerverkehrsabgabe;67.1;-1;1
408;20.02.1994;Alpen-Initiative;#ZAHL!;#ZAHL!;Nan
409;20.02.1994;Luftfahrtgesetz;#ZAHL!;#ZAHL!;Nan
410;12.06.1994;Kulturförderungsartikel;#ZAHL!;#ZAHL!;Nan
411;12.06.1994;Erleichterte Einbürgerung für junge Ausländer;#ZAHL!;#ZAHL!;Nan
412;12.06.1994;UNO-Blauhelme;#ZAHL!;#ZAHL!;Nan
413;25.09.1994;Aufhebung der Brotgetreideverbilligung;#ZAHL!;#ZAHL!;Nan
414;25.09.1994;Verbot der Rassendiskriminierung;#ZAHL!;#ZAHL!;Nan
415;04.12.1994;Krankenversicherung (KVG);51.7;-1;1
416;04.12.1994;gesunde Krankenversicherung (Initiative);23.4;-2;-1
417;04.12.1994;Zwangsmassnahmen im Ausländerrecht;72.9;1;-1
418;12.03.1995;Landwirtschaftsartikel;#ZAHL!;#ZAHL!;Nan
419;12.03.1995;Milchwirtschaftsbeschluss;#ZAHL!;#ZAHL!;Nan
420;12.03.1995;Landwirtschaftsgesetz;#ZAHL!;#ZAHL!;Nan
421;12.03.1995;Ausgabenbremse;83.4;1;-1
422;25.06.1995;10. AHV-Revision;60.7;2;1
423;25.06.1995;Initiative f. den Ausbau von AHV und IV;27.6;-2;2
424;25.06.1995;Gesetz über den Erwerb von Grundstücken durch Personen im Ausland;#ZAHL!;#ZAHL!;Nan
425;10.03.1996;Sprachenartikel;#ZAHL!;#ZAHL!;Nan
426;10.03.1996;Übertritt Vellerat zum Kanton Jura;#ZAHL!;#ZAHL!;Nan
427;10.03.1996;Zuständigkeit im Bereich der persönlichen militärischen Ausrüstung;#ZAHL!;#ZAHL!;Nan
428;10.03.1996;Aufhebung der Pflicht zur Übernahme von Brennapparaten und Branntwein;#ZAHL!;#ZAHL!;Nan
429;10.03.1996;Aufhebung der Beiträge an Bahnhofparkplätze;#ZAHL!;#ZAHL!;Nan
430;09.06.1996;Verfassungsartikel zur Landwirtschaft;#ZAHL!;#ZAHL!;Nan
431;09.06.1996;Regierungs- und Verwaltungsorganisationsgesetz;#ZAHL!;#ZAHL!;Nan
432;01.12.1996;Initiative «gegen die illegale Einwanderung»;#ZAHL!;#ZAHL!;Nan
433;01.12.1996;Arbeitsgesetz;32.9;2;3
434;08.06.1997;Initiative «EU-Beitrittsverhandlungen vors Volk!»;#ZAHL!;#ZAHL!;Nan
435;08.06.1997;VI Verbot der Kriegsmaterialausfuhr;22.5;-1;3
436;08.06.1997;Aufhebung des Pulverregals;#ZAHL!;#ZAHL!;Nan
437;28.09.1997;Finanzierung der ALV;49.2;2;1
438;28.09.1997;Initiative «Jugend ohne Drogen»;#ZAHL!;#ZAHL!;Nan
